Category,English,Farsi,Phonetic,,,,
Animal,Animal,______,heyvan,,,,
Animal,dog,__,sag,,,,
Animal,cat,____,garbeh,,,,
Animal,fish,____,mahi,,,,
Animal,bird,_____,parandeh,,,,
Animal,cow,___,gav,,,,
Animal,pig,___,khok,,,,
Animal,mouse,___,moosh,,,,
Animal,horse,___,asb,,,,
Animal,wing,___,bal,,,,
Transportation,Transportation,___,hamel ve naghal,,,,
Transportation,train,_____,ghatar,,,,
Transportation,plane,________,npavapeyma,,,,
Transportation,car,_____,mashin,,,,
Transportation,truck,______,kamiyon,,,,
Transportation,bicycle,______,docharkheh,,,,
Transportation,bus,______,otobus,,,,
Transportation,boat,____,ghayegh,,,,
Transportation,ship,____,keshti,,,,
Transportation,tire,______,tayer,,,,
Transportation,gasoline,_____,benzin,,,,
Transportation,engine,_____,motor,,,,
Transportation,ticket,____,belit,,,,
Location,Location,___,makan,,,,
Location,city,___,shehar,,,,
Location,house,____,khaneh,,,,
Location,apartment,________,apartaman,,,,
Location,street,______,khyaban,,,,
Location,airport,_______,forodegah,,,,
Location,train station,_______ ____,istgah ghatar,,,,
Location,bridge,__,pel,,,,
Location,hotel,___,hotel,,,,
Location,restaurant,_______,rastoran,,,,
Location,farm,_____,mazraeh,,,,
Location,court,______,dadegah,,,,
Location,school,_____,madreseh,,,,
Location,office,____,daftar,,,,
Location,room,____,otagh,,,,
Location,town,___,shehar,,,,
Location,university,_______,daneshgah,,,,
Location,club,____,bashgah,,,,
Location,bar,____,meykhaneh,,,,
Location,park,____ ____,park,,,,
Location,camp,_______,ordogah,,,,
Location,store,_____,foroshgah,,,,
Location,theater,_____,teatar,,,,
Location,library,________,ketabakhaneh,,,,
Location,hospital,_________,bimarestan,,,,
Location,church,_____,kolisa,,,,
Location,market,_____,bazar,,,,
Location,country,____,keshor,,,,
Location,building,_______,sakhtaman,,,,
Location,ground,____,zamin,,,,
Location,space,___,fazaye bironi,,,,
Location,bank,____,bank,,,,
Clothing,Clothing,____,labas,,,,
Clothing,hat,____,kolah,,,,
Clothing,dress,____,labas,,,,
Clothing,suit,_________,kat ve shalvar,,,,
Clothing,skirt,____,daman,,,,
Clothing,shirt,______,piranpan,,,,
Clothing,T-shirt,__ ___,ti shrat,,,,
Clothing,pants,_____,shalvar,,,,
Clothing,shoes,___,kafsh,,,,
Clothing,pocket,___,shoes,,,,
Clothing,coat,____,jib,,,,
Clothing,stain,___,lakeh dar kardan,,,,
Color,Color,___,rang,,,,
Color,red,____,gharmaz,,,,
Color,green,___,sabz,,,,
Color,blue,___ ___,abi,,,,
Color,yellow,___,zard,,,,
Color,brown,____,ghehooh i,,,,
Color,pink,_____,sorti,,,,
Color,orange,______,naranji,,,,
Color,black,____,siah,,,,
Color,white,____,sefid,,,,
Color,gray,_______,khakstari,,,,
People,People,____,mardam,,,,
People,son,___,pasar,,,,
People,daughter,____,dokhtar,,,,
People,mother,____,madar,,,,
People,father,___,pedar,,,,
People,parent,______,pedar ve madar,,,,
People,baby,____,azizam,,,,
People,man,___,mard,,,,
People,woman,__,zan,,,,
People,brother,_____,baradar,,,,
People,sister,_____,khahar,,,,
People,family,_______,khanavadeh,,,,
People,grandfather,___ ____,pedarbozorg,,,,
People,grandmother,________,madarbozorg,,,,
People,husband,____,shvear,,,,
People,wife,__,npamsar,,,,
People,king,______,padeshah,,,,
People,queen,____,molkeh,,,,
People,president,____ _____,raeis jamehor,,,,
People,neighbor,______,npamsayeh,,,,
People,boy,___,pasar,,,,
People,girl,____,dokhtar,,,,
People,child,____,koodak,,,,
People,adult,____,balegh,,,,
People,human,______,ensan,,,,
People,friend,____,dost,,,,
People,victim,______,gharbani,,,,
People,player,______,bazikon,,,,
People,fan,______,fan,,,,
People,crowd,_____,jamiyat,,,,
People,person,___,shkhs,,,,
Job,Job,___,shghel,,,,
Job,teacher,____,malam,,,,
Job,student,_______,daneshju,,,,
Job,lawyer,____ ________,vakil,,,,
Job,doctor,____,dokter,,,,
Job,patient,____,bimar,,,,
Job,waiter,_______,pishkhodamat,,,,
Job,secretary,____,monashi,,,,
Job,priest,____,keshish,,,,
Job,police,____,pelis,,,,
Job,army,____,ertash,,,,
Job,soldier,_____,sarbaz,,,,
Job,artist,______,npannarmand,,,,
Job,author,_______,nevisandeh,,,,
Job,manager,____,madir,,,,
Job,reporter,_______,khbarnegar,,,,
Job,actor,______,bazigar,,,,
Society,Society,_____,jameh,,,,
Society,religion,___,din,,,,
Society,heaven,____,bacpehsht,,,,
Society,hell,____,johonam,,,,
Society,death,___,morg,,,,
Society,medicine,____,daro,,,,
Society,money,___,pol,,,,
Society,dollar,____,delar,,,,
Society,bill,_____,sort hasab,,,,
Society,marriage,______,ezdavaj,,,,
Society,wedding,_____,arusi,,,,
Society,team,___,tim,,,,
Society,relationship,_____,rabeteh,,,,
Society,race,______,nejad,,,,
Society,sex,_____ ____,jensit,,,,
Society,murder,___,ghtel,,,,
Society,prison,_____,zandan,,,,
Society,technology,______,taknology,,,,
Society,energy,_____,enrzhi,,,,
Society,war,___,jang,,,,
Society,peace,___,saleh,,,,
Society,attack,____,hamleh konand,,,,
Society,election,________,entekhabat,,,,
Society,magazine,____,majleh,,,,
Society,newspaper,_______,ruznameh,,,,
Society,poison,_____ ____,sam,,,,
Society,gun,_____,tafang,,,,
Society,sport,____,varzesh,,,,
Society,competition,______,mosabagheh,,,,
Society,exercise,_____,varzesh kardan,,,,
Society,ball,___,top,,,,
Society,game,____,bazi,,,,
Society,price,____,ghimet,,,,
Society,contract,_______,gharardad,,,,
Society,drug,____,daro,,,,
Society,sign,_____,alamet bozanid,,,,
Society,science,___,alam,,,,
Society,God,___,khoda,,,,
Art,Art,___,npannar,,,,
Art,band,____,band,,,,
Art,song,_____,ahang,,,,
Art,instrument,_____,saz,,,,
Art,music,______,mosighi,,,,
Art,movie,____,filam,,,,
Art,art,___,npannar,,,,
Beverages,Beverages,______,noshidani cpeha,,,,
Beverages,coffee,____,ghehooh,,,,
Beverages,tea,___,chaye,,,,
Beverages,wine,____,sharab,,,,
Beverages,beer,____,abjo,,,,
Beverages,juice,__ ____,abmiveh,,,,
Beverages,water,__,ab,,,,
Beverages,milk,___,shir,,,,
Food,Food,___,ghza,,,,
Food,egg,___ ___,takham morgh,,,,
Food,cheese,____,panir,,,,
Food,bread,___,nan,,,,
Food,soup,___,sup,,,,
Food,cake,___,kik,,,,
Food,chicken,___,morgh,,,,
Food,pork,____ ___,gusht khok,,,,
Food,beef,____ ___,gusht gav,,,,
Food,apple,___,sib,,,,
Food,banana,___,moz,,,,
Food,orange,______,naranji,,,,
Food,lemon,____,limo,,,,
Food,corn,___,zarat,,,,
Food,rice,____,baranj,,,,
Food,oil,____,roghen,,,,
Food,seed,___,daneh,,,,
Food,knife,____,chagho,,,,
Food,spoon,____,ghashgh,,,,
Food,fork,_____,changal,,,,
Food,plate,_____,beshghab,,,,
Food,cup,_____,fanjan,,,,
Food,breakfast,______,sobhaneh,,,,
Food,lunch,_____,nanpehar,,,,
Food,dinner,___,sham,,,,
Food,sugar,___,shkar,,,,
Food,salt,___,namak,,,,
Food,bottle,____,betri,,,,
Home,Home,____,khaneh,,,,
Home,table,____,jodol,,,,
Home,chair,_____,sandeli,,,,
Home,bed,____,takht,,,,
Home,dream,______,roya,,,,
Home,window,_____,panjereh,,,,
Home,door,___,darb,,,,
Home,bedroom,____ ____,otagh khab,,,,
Home,kitchen,________,ashpazkhaneh,,,,
Home,bathroom,____,hamam,,,,
Home,pencil,____,madad,,,,
Home,pen,___,ghalam,,,,
Home,photograph,___,aks,,,,
Home,soap,_____,sabon,,,,
Home,book,____,ketab,,,,
Home,page,____,safheh,,,,
Home,key,____,kolid,,,,
Home,paint,___,rang kardan,,,,
Home,letter,____,nameh,,,,
Home,note,_______,tojeh dashteh bashid,,,,
Home,wall,_____,divar,,,,
Home,paper,____,kaghz,,,,
Home,floor,__,tabagheh,,,,
Home,ceiling,___,saqf,,,,
Home,roof,___,saqf,,,,
Home,pool,_____,estekhar,,,,
Home,lock,___,ghfel kardan,,,,
Home,telephone,____,talfan,,,,
Home,garden,___,bagh,,,,
Home,yard,____,hayat,,,,
Home,needle,____,sozan,,,,
Home,bag,____,kiseh,,,,
Home,box,____,jabeh,,,,
Home,gift,____,cpehdieh,,,,
Home,card,____,kart,,,,
Home,ring,____,halgheh,,,,
Home,tool,_____,abzar,,,,
Electronics,Electronics,_________,elektronik,,,,
Electronics,clock,____,saat,,,,
Electronics,lamp,____,lamp,,,,
Electronics,fan,______,fan,,,,
Electronics,cell phone,____ _____,talfan cpehmarah,,,,
Electronics,network,____,shabkeh,,,,
Electronics,computer,________,kampioter,,,,
Electronics,program,______,barnameh,,,,
Electronics,laptop,__ ___,lap tap,,,,
Electronics,screen,____ _____,safheh namayesh,,,,
Electronics,camera,______,dorbin,,,,
Electronics,television,________,talvizion,,,,
Electronics,radio,_____,radiv,,,,
Body,Body,____,badan,,,,
Body,head,__,sar,,,,
Body,neck,____,gardan,,,,
Body,face,____,sort,,,,
Body,beard,___,rish,,,,
Body,hair,__,mo,,,,
Body,eye,___,chesham,,,,
Body,mouth,____,dehan,,,,
Body,lip,__,lab,,,,
Body,nose,____,bini,,,,
Body,tooth,_____,dandan,,,,
Body,ear,___,gush,,,,
Body,tear,___,pareh kardan,,,,
Body,tongue,____,zaban,,,,
Body,back,___,bargasht,,,,
Body,toe,_____ __,engasht pa,,,,
Body,finger,_____,engasht,,,,
Body,foot,__,pa,,,,
Body,hand,___,dast,,,,
Body,leg,__,pa,,,,
Body,arm,____,bazo,,,,
Body,shoulder,____,shaneh,,,,
Body,heart,___,ghalab,,,,
Body,blood,___,khon,,,,
Body,brain,___,moghz,,,,
Body,knee,____,zano,,,,
Body,sweat,___,aragh,,,,
Body,disease,______,bimari,,,,
Body,bone,_______,estekhan,,,,
Body,voice,___,sada,,,,
Body,skin,____,poost,,,,
Nature,Nature,___,tabiat,,,,
Nature,sea,____,daria,,,,
Nature,ocean,_______,eghianos,,,,
Nature,river,_______,rodkhaneh,,,,
Nature,mountain,___,kuh,,,,
Nature,rain,_____,baran,,,,
Nature,snow,___,barf,,,,
Nature,tree,____,darkht,,,,
Nature,sun,______,khorshid,,,,
Nature,moon,___,mah,,,,
Nature,world,____,jacpehan,,,,
Nature,earth,____,zamin,,,,
Nature,forest,____,jangel,,,,
Nature,sky,_____,asman,,,,
Nature,plant,____,giah,,,,
Nature,wind,___,bad,,,,
Nature,soil,___,khak,,,,
Nature,flower,__,gol,,,,
Nature,valley,___,dareh,,,,
Nature,root,____,risheh,,,,
Nature,lake,______,daryacheh,,,,
Nature,star,_____,setareh,,,,
Nature,grass,___,chaman,,,,
Nature,leaf,___,barg,,,,
Nature,air,___,npava,,,,
Nature,sand,____,shen ve maseh,,,,
Nature,beach,____,sahel,,,,
Nature,wave,___,moj,,,,
Nature,fire,___,atash,,,,
Nature,ice,__,yakh,,,,
Nature,island,_____,jazireh,,,,
Nature,hill,___,tapeh,,,,
Nature,heat,___ ____,garma,,,,
Materials,Materials,____,movad,,,,
Materials,glass,____,shisheh i,,,,
Materials,metal,____,felzi,,,,
Materials,plastic,________,polastik,,,,
Materials,wood,___,chub,,,,
Materials,stone,___,sang,,,,
Materials,diamond,_____,olmas,,,,
Materials,clay,___ __,khak res,,,,
Materials,dust,___ _ ____,gard ve ghabar,,,,
Materials,gold,___,tala,,,,
Materials,copper,__,mos,,,,
Materials,silver,____,naghareh i,,,,
Measurements,Measurements,______ ____,andazeh giri cpeha,,,,
Measurements,meter,______,moter,,,,
Measurements,centimeter,_____ ___,santi moter,,,,
Measurements,kilogram,_______,kilogerm,,,,
Measurements,inch,____,inch,,,,
Measurements,foot,__,foot,,,,
Measurements,pound,____,pound,,,,
Measurements,half,___,nasf,,,,
Measurements,circle,_____,dayereh,,,,
Measurements,square,____,morob,,,,
Measurements,temperature,____ _____,dama,,,,
Measurements,date,_____,tarikh,,,,
Measurements,weight,___,vazan,,,,
Measurements,edge,___,labeh,,,,
Measurements,corner,____,gusheh,,,,
Misc Nouns,Misc Nouns,______ ______,esm cpehei motefargheh,,,,
Misc Nouns,map,____,naqsheh,,,,
Misc Nouns,dot,____,naghteh,,,,
Misc Nouns,consonant,____,npamkhan,,,,
Misc Nouns,vowel,______,mosout,,,,
Misc Nouns,light,___,nor,,,,
Misc Nouns,sound,___,sada,,,,
Misc Nouns,yes,___,beleh,,,,
Misc Nouns,no,___,nah,,,,
Misc Nouns,piece,____,ghate,,,,
Misc Nouns,pain,___,dard,,,,
Misc Nouns,injury,_____,jarahat,,,,
Misc Nouns,hole,_____,sorakh,,,,
Misc Nouns,image,_____,tasvir,,,,
Misc Nouns,pattern,____,algo,,,,
Directions,Directions,___,mosirehya,,,,
Directions,top,____,bala,,,,
Directions,bottom,_____,payin,,,,
Directions,side,___,samat,,,,
Directions,front,___,jelo,,,,
Directions,back,___,bargasht,,,,
Directions,outside,____,kharj,,,,
Directions,inside,____,dakhal,,,,
Directions,up,____,bala,,,,
