Category,English,Farsi,Phonetic
Animal,Animal,حیوانی,
Animal,dog,سگ,
Animal,cat,گربه,
Animal,fish,ماهی,
Animal,bird,پرنده,
Animal,cow,گاو,
Animal,pig,خوک,
Animal,mouse,موش,
Animal,horse,اسب,
Animal,wing,بال,
Transportation,Transportation,حمل,
Transportation,train,آموزش,
Transportation,plane,هواپیمای,
Transportation,car,ماشین,
Transportation,truck,کامیون,
Transportation,bicycle,دوچرخه,
Transportation,bus,اتوبوس,
Transportation,boat,قایق,
Transportation,ship,کشتی,
Transportation,tire,لاستیک,
Transportation,gasoline,بنزین,
Transportation,engine,موتور,
Transportation,ticket,بلیط,
Location,Location,محل,
Location,city,شهر,
Location,house,خانه,
Location,apartment,آپارتمان,
Location,street,خیابان,
Location,airport,فرودگاه,
Location,train station,ایستگاه قطار,
Location,bridge,پل,
Location,hotel,هتل,
Location,restaurant,رستوران,
Location,farm,مزرعه,
Location,court,دادگاه,
Location,school,مدرسه,
Location,office,دفتر,
Location,room,اتاق,
Location,town,شهر,
Location,university,دانشگاه,
Location,club,کلوپ,
Location,bar,نوار,
Location,park,پارک کردن,
Location,camp,اردوگاه,
Location,store,ذخیره,
Location,theater,تئاتر,
Location,library,کتابخانه,
Location,hospital,بیمارستان,
Location,church,کلیسا,
Location,market,بازار,
Location,country,کشور,
Location,building,ساختمان,
Location,ground,زمین,
Location,space,فضا,
Location,bank,بانک,
Clothing,Clothing,لباس,
Clothing,hat,کلاه,
Clothing,dress,لباس,
Clothing,suit,خواستگاری,
Clothing,skirt,دامن,
Clothing,shirt,پیراهن,
Clothing,T-shirt,تی شرت,
Clothing,pants,شلوار,
Clothing,shoes,کفش,
Clothing,pocket,جیب,
Clothing,coat,روکش,
Clothing,stain,لکه,
Color,Color,رنگ,
Color,red,قرمز,
Color,green,سبز,
Color,blue,رنگ آبی,
Color,yellow,زرد,
Color,brown,قهوه,
Color,pink,صورتی,
Color,orange,نارنجی,
Color,black,سیاه,
Color,white,سفید,
Color,gray,خاکستری,
People,People,مردم,
People,son,پسر,
People,daughter,دختر,
People,mother,مادر,
People,father,پدر,
People,parent,والدین,
